Participant ID,[Optional] What is your age?,"[Optional] To which gender identity do you most identify? 
(If not listed, please specify in ""Other"")","[Optional] According to the Fitzpatrick scale 
(https://en.wikipedia.org/wiki/Fitzpatrick_scale),
How would you classify your skin type?",[Optional] Where are you from? ,"[Optional] What is the highest degree or 
Level of school you have completed? ","[Optional] Have your received any formal musical training 
(beyond the usual music lessons in school)?","[Optional] Do you regularly engage in playing, 
Djing or producing any kind of music? ","[Optional] Would you describe 
Your musical taste as varied?","[Optional] Do you often 
Listen to Electronic Music?","[Optional] Within Electronic music, 
Would you describe your musical taste as varied?",Do you know these? [Kraftwerk],Do you know these? [Daft Punk],Do you know these? [Tangerine Dream],Do you know these? [The Chemical Brothers],Do you know these? [DJ Shadow],Do you know these? [Aphex Twin],Do you know these? [Roni Size],Do you know these? [Underworld],Do you know these? [Vangelis],Do you know these? [Moby],Do you know these? [The Prodigy],Do you know these? [Goldie],Do you know these? [Orbital],Do you know these? [Skrillex],Do you know these? [Deadmau5],Do you know these? [Nur Jaber],Do you know these? [DJ Rachael],Do you know these? [Deena Abdelwahed],Do you know these? [Loraine James],Do you know these? [Ibaaku],Do you know these? [Lafidki],Do you know these? [Upgrayedd Smurphy],Do you know these? [Sandunes],Do you know these? [Kerano],Do you know these? [Kamila Govorčin],Do you know these? [Echo Deep],Do you know these? [Faded Ghost],Do you know these? [AYN],Do you know these? [Amine K],Do you know these? [Dj Rashad],Familiarity Score,TRACK task 1,TRACK task 2,TRACK task 3,TRACK task 4,"Looking back at your choices, I
Ndicate what influenced you the most.","Looking back at your choices, indicate if 
these factors influenced your decision: 
[Tempo/BPM (fast vs. slow)]","Looking back at your choices, indicate 
if these factors influenced your decision: 
[Sub-genres or sub-styles]","Looking back at your choices, indicate 
if these factors influenced your decision: 
[Feelings, emotions, mood]","Looking back at your choices, indicate 
if these factors influenced your decision: 
[Instruments and samples]","If other factors influenced your choices, 
Please specify them:",ARTIST task 1,ARTIST task 2,ARTIST task 3,ARTIST task 4,"Looking back at your choices, 
Indicate what influenced you the most.","Looking back at your choices, indicate 
if these factors influenced your decision: 
[Race / color / skin type]","Looking back at your choices, indicate 
if these factors influenced your decision: 
[Sex / gender / sexual orientation]","Looking back at your choices, indicate 
if these factors influenced your decision: 
[Age]","Looking back at your choices, indicate 
if these factors influenced your decision: 
[Language / nationality / social origin]","If other factors influenced your choices, 
please specify them:",BOTH task 1,BOTH task 2,BOTH task 3,BOTH task 4,"Looking back at your choices, 
Indicate what influenced you the most.","Looking back at your choices, 
Which one did you weight the most:"
51,25-34 years old,Male,2,Europe,"Bachelor’s degree (e.g. BA, BS)",Yes,5,5,5,5,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I don't know them/her/him,I don't know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I don't know them/her/him,I know them/her/him,I know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,0.23,List A,List A,List B,List B,My listening of the tracks now,Medium influence,Weak influence,Medium influence,Strong influence,,List B,List A,List A,List B,My seeing of the artists now,Weak influence,Medium influence,No influence,Medium influence,Diversità degli approcci,List B,List B,List B,List A,My listening of the tracks and seeing of the artists now,4
52,25-34 years old,Male,1,Europe,High school degree or equivalent,Yes,5,5,5,5,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,Maybe I know them/her/him,I know them/her/him,I don't know them/her/him,I don't know them/her/him,Maybe I know them/her/him,I know them/her/him,I know them/her/him,I don't know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,1.00,List B,List A,List A,List B,My listening of the tracks now,Medium influence,Strong influence,Strong influence,Strong influence,,List B,List A,List B,List B,My previous knowledge/familiarity with the artists,Medium influence,Weak influence,Medium influence,Medium influence,,List B,List B,List B,List B,My previous knowledge/familiarity with the tracks and the artists,2
53,35-44 years old,Male,1,Europe,"Master’s degree (e.g. MA, MS, MEd)",Yes,2,4,4,3,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I don't know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I don't know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,0.25,List B,List A,List A,List B,My listening of the tracks now,Strong influence,Medium influence,Medium influence,Strong influence,,List B,List B,List A,List B,My seeing of the artists now,Medium influence,Medium influence,Weak influence,Strong influence,,List A,List B,List A,List B,My listening of the tracks and seeing of the artists now,2
54,18-24 years old,Male,2,Europe,"Master’s degree (e.g. MA, MS, MEd)",Yes,5,4,5,3,I know them/her/him,I know them/her/him,Maybe I know them/her/him,Maybe I know them/her/him,I don't know them/her/him,I know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,Maybe I know them/her/him,Maybe I know them/her/him,Maybe I know them/her/him,I don't know them/her/him,I know them/her/him,I know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,0.12,List B,List A,List A,List B,My listening of the tracks now,Strong influence,Strong influence,Medium influence,Weak influence,,List B,List B,List A,List B,My seeing of the artists now,Medium influence,Weak influence,No influence,Strong influence,,List B,List B,List B,List B,My listening of the tracks and seeing of the artists now,3
55,18-24 years old,Male,I prefer not to say,Europe,"Master’s degree (e.g. MA, MS, MEd)",No,5,5,5,3,I know them/her/him,I know them/her/him,Maybe I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I don't know them/her/him,I don't know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,Maybe I know them/her/him,I don't know them/her/him,I know them/her/him,I know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,Maybe I know them/her/him,I don't know them/her/him,0.22,List B,List A,List A,List A,My listening of the tracks now,Medium influence,No influence,Strong influence,Strong influence,,List B,List B,List A,List B,My seeing of the artists now,Weak influence,Strong influence,No influence,Strong influence,,List B,I don't know,List A,List B,My listening of the tracks and seeing of the artists now,2
56,18-24 years old,Male,1,Europe,"Bachelor’s degree (e.g. BA, BS)",Yes,2,5,5,5,I know them/her/him,I know them/her/him,I don't know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I don't know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,Maybe I know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,Maybe I know them/her/him,I don't know them/her/him,I don't know them/her/him,Maybe I know them/her/him,I don't know them/her/him,I know them/her/him,I know them/her/him,0.45,List B,List A,List A,List B,My listening of the tracks now,Medium influence,Strong influence,Medium influence,Strong influence,"Aesthetics, drum beat, age ",List B,List B,List A,List B,My seeing of the artists now,Strong influence,Strong influence,Weak influence,Strong influence,,List B,List B,List B,List A,My previous knowledge/familiarity with the tracks and the artists,2
57,35-44 years old,Male,1,Europe,High school degree or equivalent,No,1,5,4,5,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,Maybe I know them/her/him,I know them/her/him,I don't know them/her/him,Maybe I know them/her/him,I don't know them/her/him,Maybe I know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,Maybe I know them/her/him,I know them/her/him,0.57,List B,List A,List A,List B,My listening of the tracks now,Medium influence,Strong influence,Weak influence,Medium influence,"Rhythms, beat patterns",List B,List B,List A,List B,My seeing of the artists now,Strong influence,Strong influence,No influence,Medium influence,,List B,List A,List A,List A,My listening of the tracks and seeing of the artists now,3
58,18-24 years old,Male,I prefer not to say,North America,High school degree or equivalent,No,4,5,5,5,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I don't know them/her/him,I know them/her/him,I don't know them/her/him,Maybe I know them/her/him,I don't know them/her/him,I don't know them/her/him,I know them/her/him,Maybe I know them/her/him,I don't know them/her/him,I know them/her/him,I know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,Maybe I know them/her/him,0.18,List B,List A,List A,List B,My listening of the tracks now,Medium influence,Strong influence,Weak influence,Strong influence,,List B,List B,List A,List B,My seeing of the artists now,No influence,No influence,No influence,Strong influence,,List B,List B,List B,List B,My listening of the tracks and seeing of the artists now,2
59,35-44 years old,Male,3,South America,"Bachelor’s degree (e.g. BA, BS)",No,5,2,5,4,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,Maybe I know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I know them/her/him,0.41,List B,List A,List A,List B,My listening of the tracks now,Strong influence,Weak influence,Medium influence,Medium influence,,List B,List B,List A,List B,My seeing of the artists now,Strong influence,Strong influence,Weak influence,Strong influence,,List B,List B,List B,List A,My listening of the tracks and seeing of the artists now,2
60,35-44 years old,Male,2,Europe,"Bachelor’s degree (e.g. BA, BS)",Yes,5,5,5,5,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,0.33,List B,List A,List A,List B,My listening of the tracks now,Strong influence,Strong influence,Strong influence,Strong influence,,List B,List B,List A,List B,My seeing of the artists now,Strong influence,Strong influence,Weak influence,Medium influence,,List B,List A,List B,List B,My listening of the tracks and seeing of the artists now,3
61,25-34 years old,Male,2,Europe,"Bachelor’s degree (e.g. BA, BS)",Yes,5,5,5,5,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,0.33,List B,List A,List A,List B,My listening of the tracks now,Strong influence,Strong influence,Strong influence,Strong influence,,List B,List B,List A,List A,My seeing of the artists now,Strong influence,No influence,No influence,Strong influence,,List B,List B,List B,List B,My listening of the tracks and seeing of the artists now,3
62,25-34 years old,Male,3,Europe,"Master’s degree (e.g. MA, MS, MEd)",Yes,3,4,5,4,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I don't know them/her/him,I know them/her/him,I don't know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I don't know them/her/him,Maybe I know them/her/him,I know them/her/him,I know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,0.22,List B,List A,List A,List B,My listening of the tracks now,Medium influence,Strong influence,Medium influence,Medium influence,,List B,List A,List A,List B,My seeing of the artists now,Strong influence,Strong influence,Weak influence,Weak influence,,List B,List B,List A,List B,My previous knowledge/familiarity with the tracks and the artists,1
63,25-34 years old,Male,1,Europe,"Master’s degree (e.g. MA, MS, MEd)",No,1,5,5,4,I know them/her/him,I know them/her/him,Maybe I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I don't know them/her/him,I don't know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,0.24,List B,List A,List A,I don't know,My listening of the tracks now,Weak influence,Strong influence,Medium influence,Medium influence,,List B,List B,List A,List B,My seeing of the artists now,Strong influence,No influence,No influence,Strong influence,,List B,List B,List B,List A,My listening of the tracks and seeing of the artists now,2
64,18-24 years old,I prefer not to say,4,Europe,"Bachelor’s degree (e.g. BA, BS)",No,1,4,4,3,I know them/her/him,I know them/her/him,I don't know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,Maybe I know them/her/him,I know them/her/him,I know them/her/him,Maybe I know them/her/him,Maybe I know them/her/him,I know them/her/him,I know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,Maybe I know them/her/him,I don't know them/her/him,I don't know them/her/him,I know them/her/him,0.54,List B,List A,List A,I don't know,My previous knowledge/familiarity with the tracks,Strong influence,Strong influence,Strong influence,Medium influence,,List B,List B,List A,List B,My seeing of the artists now,Strong influence,Strong influence,Weak influence,Strong influence,,I don't know,List B,List B,List A,My listening of the tracks and seeing of the artists now,3
65,18-24 years old,I prefer not to say,4,Europe,"Bachelor’s degree (e.g. BA, BS)",No,1,4,4,3,I know them/her/him,I know them/her/him,I don't know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,Maybe I know them/her/him,I know them/her/him,I know them/her/him,Maybe I know them/her/him,Maybe I know them/her/him,I know them/her/him,I know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,Maybe I know them/her/him,I don't know them/her/him,I don't know them/her/him,I know them/her/him,0.54,List B,List A,List A,I don't know,My previous knowledge/familiarity with the tracks,Strong influence,Strong influence,Strong influence,Medium influence,,List B,List B,List A,List B,My seeing of the artists now,Strong influence,Strong influence,Weak influence,Strong influence,,I don't know,List B,List B,List A,My listening of the tracks and seeing of the artists now,3
66,45-54 years old,Male,1,Europe,High school degree or equivalent,Yes,1,5,3,3,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,0.15,List B,List B,I don't know,I don't know,My listening of the tracks now,Strong influence,Weak influence,Weak influence,Strong influence,,List B,List A,List A,List B,My seeing of the artists now,Strong influence,Strong influence,No influence,Strong influence,,List A,List A,List B,List A,My listening of the tracks and seeing of the artists now,3
67,25-34 years old,Male,3,South America,"Doctorate (e.g. PhD, EdD)",Yes,3,5,4,5,I know them/her/him,I know them/her/him,Maybe I know them/her/him,I know them/her/him,Maybe I know them/her/him,I know them/her/him,Maybe I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,Maybe I know them/her/him,I don't know them/her/him,Maybe I know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,Maybe I know them/her/him,I don't know them/her/him,I don't know them/her/him,Maybe I know them/her/him,I don't know them/her/him,Maybe I know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,Maybe I know them/her/him,0.41,List B,List A,List A,List A,My listening of the tracks now,Strong influence,Medium influence,Weak influence,Strong influence,,List B,List B,List A,List B,My seeing of the artists now,Medium influence,Strong influence,No influence,Strong influence,,List B,I don't know,List A,List A,My listening of the tracks and seeing of the artists now,2
68,35-44 years old,Male,1,Europe,High school degree or equivalent,Yes,4,4,5,4,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,Maybe I know them/her/him,Maybe I know them/her/him,Maybe I know them/her/him,Maybe I know them/her/him,Maybe I know them/her/him,Maybe I know them/her/him,Maybe I know them/her/him,Maybe I know them/her/him,Maybe I know them/her/him,Maybe I know them/her/him,Maybe I know them/her/him,Maybe I know them/her/him,Maybe I know them/her/him,Maybe I know them/her/him,Maybe I know them/her/him,0.81,List B,List A,List A,List B,My listening of the tracks now,Weak influence,Strong influence,Strong influence,Strong influence,,I don't know,I don't know,I don't know,I don't know,My seeing of the artists now,Strong influence,Strong influence,Weak influence,Strong influence,Last 3 questions sucked...but really...you ask for gender/race diversity and  i have to say what group is more more diverse...,I don't know,List B,List A,I don't know,My previous knowledge/familiarity with the tracks and the artists,5
69,18-24 years old,Male,3,Asia,High school degree or equivalent,Yes,4,3,5,5,I know them/her/him,I know them/her/him,I don't know them/her/him,I know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I don't know them/her/him,I don't know them/her/him,I know them/her/him,I know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,Maybe I know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,0.19,List B,I don't know,List A,List A,My listening of the tracks now,Weak influence,Medium influence,Strong influence,Weak influence,,List B,List B,List B,List A,My seeing of the artists now,Medium influence,Medium influence,Weak influence,Weak influence,,List A,List A,List A,List B,My listening of the tracks and seeing of the artists now,2
70,25-34 years old,Male,1,Asia,"Doctorate (e.g. PhD, EdD)",Yes,2,5,4,4,I know them/her/him,I know them/her/him,Maybe I know them/her/him,I know them/her/him,Maybe I know them/her/him,I know them/her/him,I don't know them/her/him,I don't know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,Maybe I know them/her/him,I don't know them/her/him,I know them/her/him,I know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,Maybe I know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,Maybe I know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,Maybe I know them/her/him,0.26,List B,List A,List A,List A,My listening of the tracks now,Weak influence,Strong influence,Medium influence,Medium influence,,List B,List B,List A,List B,My seeing of the artists now,Strong influence,Strong influence,Weak influence,Strong influence,,List B,I don't know,List A,List A,My listening of the tracks and seeing of the artists now,2
71,18-24 years old,Male,2,Europe,"Master’s degree (e.g. MA, MS, MEd)",Yes,3,4,5,4,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I don't know them/her/him,I know them/her/him,I don't know them/her/him,I don't know them/her/him,I know them/her/him,Maybe I know them/her/him,I don't know them/her/him,Maybe I know them/her/him,I don't know them/her/him,I know them/her/him,I know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,Maybe I know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,0.19,List B,List A,List A,List B,My listening of the tracks now,Medium influence,Medium influence,Medium influence,Strong influence,"Generally, the most varied list usually seemed more sonically varied, in terms of timbres, but also in overall style: I gravitated toward lists that seemed to have something heavier or more aggressive, something that had more acoustic sounds or ethnic influences, something more repetitive and slowly evolving, something with vocals and groove-based... From a musical standpoint, I would say the two most decisive factors were if the song had any harmonic direction (was driven by chords and/or melody), and how regular its metric, if any, was compared to the others. ",List B,List B,List A,List B,My seeing of the artists now,Strong influence,Medium influence,Weak influence,Strong influence,"If artists on the same list were apparently varied (skin colour, age, gender) but all from western european or american countries, I chose the other list if it contained greater variety regarding nationality and social origin.",List B,List B,List A,I don't know,My listening of the tracks and seeing of the artists now,3
72,18-24 years old,I prefer not to say,4,Europe,"Bachelor’s degree (e.g. BA, BS)",No,1,4,4,3,I know them/her/him,I know them/her/him,I don't know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,Maybe I know them/her/him,I know them/her/him,I know them/her/him,Maybe I know them/her/him,Maybe I know them/her/him,I know them/her/him,I know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,Maybe I know them/her/him,I don't know them/her/him,I don't know them/her/him,I know them/her/him,0.54,List B,List A,List A,I don't know,My previous knowledge/familiarity with the tracks,Strong influence,Strong influence,Strong influence,Medium influence,,List B,List B,List A,List B,My seeing of the artists now,Strong influence,Strong influence,Weak influence,Strong influence,,I don't know,List B,List B,List A,My listening of the tracks and seeing of the artists now,3
73,18-24 years old,Male,2,Europe,"Master’s degree (e.g. MA, MS, MEd)",Yes,5,3,5,4,Maybe I know them/her/him,I know them/her/him,I don't know them/her/him,Maybe I know them/her/him,Maybe I know them/her/him,Maybe I know them/her/him,Maybe I know them/her/him,I don't know them/her/him,I don't know them/her/him,Maybe I know them/her/him,I know them/her/him,I know them/her/him,I don't know them/her/him,I know them/her/him,I know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,0.13,List B,List A,List A,List B,My listening of the tracks now,Strong influence,Strong influence,Medium influence,Strong influence,"Variety in ease of listening (does the song fit more 'traditional' EDM-genres and is it easier to listen to, or is it more processed/glitchy/experimental)",List B,List B,List A,List B,My seeing of the artists now,Medium influence,Strong influence,Weak influence,Strong influence,,List B,List B,List A,List B,My listening of the tracks and seeing of the artists now,2
74,35-44 years old,Male,1,Europe,"Master’s degree (e.g. MA, MS, MEd)",No,1,4,2,2,I know them/her/him,I know them/her/him,I don't know them/her/him,I know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,0.20,List B,List A,List A,List B,My listening of the tracks now,Medium influence,Medium influence,Weak influence,Medium influence,,List B,List B,List A,List B,My seeing of the artists now,Medium influence,Medium influence,Weak influence,Medium influence,,List B,I don't know,List B,List B,My listening of the tracks and seeing of the artists now,4
75,18-24 years old,I prefer not to say,4,Europe,"Bachelor’s degree (e.g. BA, BS)",No,1,4,4,3,I know them/her/him,I know them/her/him,I don't know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,Maybe I know them/her/him,I know them/her/him,I know them/her/him,Maybe I know them/her/him,Maybe I know them/her/him,I know them/her/him,I know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,Maybe I know them/her/him,I don't know them/her/him,I don't know them/her/him,I know them/her/him,0.54,List B,List A,List A,I don't know,My previous knowledge/familiarity with the tracks,Strong influence,Strong influence,Strong influence,Medium influence,,List B,List B,List A,List B,My seeing of the artists now,Strong influence,Strong influence,Weak influence,Strong influence,,I don't know,List B,List B,List A,My listening of the tracks and seeing of the artists now,3
76,18-24 years old,Male,2,Europe,High school degree or equivalent,Yes,5,4,5,4,I know them/her/him,I know them/her/him,I don't know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I don't know them/her/him,I know them/her/him,I don't know them/her/him,I don't know them/her/him,I know them/her/him,I don't know them/her/him,I don't know them/her/him,I know them/her/him,I know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,0.13,List B,List A,List B,List A,My listening of the tracks now,Medium influence,Strong influence,Strong influence,Medium influence,,List B,List B,List A,List A,My seeing of the artists now,Strong influence,No influence,No influence,Strong influence,,I don't know,List A,List B,List B,My listening of the tracks and seeing of the artists now,5
